arm,cell_type,n_cells,accuracy,f1
P2DS,"CD4-positive, alpha-beta cytotoxic T cell",102,0.22549019607843138,0.304635761589404
P2DS,"CD8-positive, alpha-beta T cell",579,0.4421416234887737,0.419672131147541
P2DS,"CD8-positive, alpha-beta cytotoxic T cell",493,0.7505070993914807,0.6624888093106536
P2DS,"CD8-positive, alpha-beta memory T cell",263,0.4524714828897338,0.49480249480249483
P2DS,T cell,564,0.34574468085106386,0.4513888888888889
P2DS,"central memory CD4-positive, alpha-beta T cell",1130,0.7823008849557522,0.7207501019160212
P2DS,double negative T regulatory cell,3,0.0,0.0
P2DS,"effector memory CD4-positive, alpha-beta T cell",233,0.49356223175965663,0.5010893246187363
P2DS,gamma-delta T cell,320,0.76875,0.7639751552795031
P2DS,hematopoietic stem cell,2,0.0,0.0
P2DS,innate lymphoid cell,6,0.0,0.0
P2DS,mature B cell,51,0.8431372549019608,0.49142857142857144
P2DS,memory B cell,338,0.8195266272189349,0.8509984639016898
P2DS,mucosal invariant T cell,219,0.8858447488584474,0.8202959830866807
P2DS,myeloid cell,263,0.5247148288973384,0.5149253731343284
P2DS,naive B cell,335,0.9402985074626866,0.9090909090909091
P2DS,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.8242622950819672,0.8207639569049952
P2DS,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.8942420681551116,0.8712077847738982
P2DS,natural killer cell,235,0.502127659574468,0.48261758691206547
P2DS,plasma cell,18,0.1111111111111111,0.2
P2DS,plasmacytoid dendritic cell,30,1.0,0.967741935483871
P2DS,platelet,178,1.0,0.9971988795518207
P2DS,pre-conventional dendritic cell,7,0.0,0.0
P2DS,regulatory T cell,157,0.4585987261146497,0.45714285714285713
