## SLURM PROLOG ###############################################################
##    Job ID : 4844375
##  Job Name : bibm_ft
##  Nodelist : gpu3002
##      CPUs : 6
##  Mem/Node : 65536 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Wed Aug 12 05:55:55 PM EDT 2026
###############################################################################
arm=proportional train=250,000 val=148,029 labels=45 val_donors=246
{'loss': 1.1482, 'grad_norm': 35242088.0, 'learning_rate': 2.4769585253456224e-06, 'epoch': 3.8}
{'loss': 1.2151, 'grad_norm': 31071426.0, 'learning_rate': 1.996927803379416e-06, 'epoch': 3.84}
{'loss': 1.2604, 'grad_norm': 8297708.0, 'learning_rate': 1.5168970814132106e-06, 'epoch': 3.88}
{'loss': 1.2849, 'grad_norm': 1515241.375, 'learning_rate': 1.0368663594470047e-06, 'epoch': 3.92}
{'loss': 1.3236, 'grad_norm': 11601791.0, 'learning_rate': 5.568356374807988e-07, 'epoch': 3.95}
{'loss': 1.2711, 'grad_norm': 3029825.25, 'learning_rate': 7.680491551459294e-08, 'epoch': 3.99}
{'eval_loss': 1.7547028064727783, 'eval_accuracy': 0.5653, 'eval_macro_f1': 0.26643383804592885, 'eval_runtime': 1211.016, 'eval_samples_per_second': 24.773, 'eval_steps_per_second': 0.258, 'epoch': 4.0}
{'train_runtime': 84863.1042, 'train_samples_per_second': 11.784, 'train_steps_per_second': 0.245, 'train_loss': 1.398487322524579, 'epoch': 4.0}
TRAINING COMPLETE
selection val subsampled to 60,000 cells
{'checkpoint': 'checkpoint-5209', 'overall_macro_f1': 0.7602630658818706, 'worst_class_acc': 0.0, 'worst_group_f1': np.float64(0.7480699438156487)}
{'checkpoint': 'checkpoint-10418', 'overall_macro_f1': 0.2943054096771407, 'worst_class_acc': 0.0, 'worst_group_f1': np.float64(0.30101047731718183)}
{'checkpoint': 'checkpoint-15627', 'overall_macro_f1': 0.005487478317866079, 'worst_class_acc': 0.0, 'worst_group_f1': np.float64(0.000893218370874776)}
{'checkpoint': 'checkpoint-20832', 'overall_macro_f1': 0.2694935988088438, 'worst_class_acc': 0.0, 'worst_group_f1': np.float64(0.2857704153606435)}
SELECTED checkpoint-5209 (worst-class acc 0.0000)
