## SLURM PROLOG ###############################################################
##    Job ID : 4821014
##  Job Name : bibm_ft
##  Nodelist : gpu1503
##      CPUs : 12
##  Mem/Node : 196608 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Sun Aug  9 11:55:00 PM EDT 2026
###############################################################################
re-equalizing groups to 49,377/group (pre: {'African': 50478, 'EastSEAsian': 50785, 'European': 49940, 'HispanicLatino': 49377, 'SouthAsian': 49420})
arm=balanced train=246,885 val=157,410 labels=45 val_donors=246
{'loss': 0.1783, 'grad_norm': 4689.73828125, 'learning_rate': 6.251215244021e-06, 'epoch': 3.5}
{'loss': 0.1827, 'grad_norm': 719.8265991210938, 'learning_rate': 5.765117635621233e-06, 'epoch': 3.54}
{'loss': 0.1776, 'grad_norm': 707.189453125, 'learning_rate': 5.279020027221467e-06, 'epoch': 3.58}
{'loss': 0.1804, 'grad_norm': 13068.6484375, 'learning_rate': 4.7929224188217e-06, 'epoch': 3.62}
{'loss': 0.1848, 'grad_norm': 1146.36865234375, 'learning_rate': 4.3068248104219325e-06, 'epoch': 3.65}
{'loss': 0.1761, 'grad_norm': 888.2682495117188, 'learning_rate': 3.820727202022166e-06, 'epoch': 3.69}
{'loss': 0.1808, 'grad_norm': 1018.3956298828125, 'learning_rate': 3.3346295936223993e-06, 'epoch': 3.73}
{'loss': 0.1691, 'grad_norm': 2719.043212890625, 'learning_rate': 2.8485319852226327e-06, 'epoch': 3.77}
{'loss': 0.1703, 'grad_norm': 61.269935607910156, 'learning_rate': 2.362434376822866e-06, 'epoch': 3.81}
{'loss': 0.1648, 'grad_norm': 62.64838790893555, 'learning_rate': 1.8763367684230994e-06, 'epoch': 3.85}
{'loss': 0.1759, 'grad_norm': 1101.8184814453125, 'learning_rate': 1.3902391600233328e-06, 'epoch': 3.89}
{'loss': 0.1597, 'grad_norm': 495.3734436035156, 'learning_rate': 9.041415516235661e-07, 'epoch': 3.93}
{'loss': 0.1754, 'grad_norm': 2327.8291015625, 'learning_rate': 4.180439432237993e-07, 'epoch': 3.97}
