## SLURM PROLOG ###############################################################
##    Job ID : 4948249
##  Job Name : bibm_probe
##  Nodelist : gpu1501
##      CPUs : 4
##  Mem/Node : 98304 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Thu Aug 13 06:26:58 PM EDT 2026
###############################################################################
re-equalizing groups to 49,377/group (pre: {'African': 50478, 'EastSEAsian': 50785, 'European': 49940, 'HispanicLatino': 49377, 'SouthAsian': 49420})
arm=balanced train=246,885 val=157,410 labels=45 val_donors=246
{'loss': 0.2389, 'grad_norm': 1.795062780380249, 'learning_rate': 9.653898502819366e-06, 'epoch': 3.23}
{'loss': 0.2221, 'grad_norm': 1.5320806503295898, 'learning_rate': 9.1678008944196e-06, 'epoch': 3.27}
{'loss': 0.2256, 'grad_norm': 1.2751299142837524, 'learning_rate': 8.681703286019833e-06, 'epoch': 3.3}
{'loss': 0.2256, 'grad_norm': 1.495898962020874, 'learning_rate': 8.195605677620066e-06, 'epoch': 3.34}
{'loss': 0.2237, 'grad_norm': 1.3393629789352417, 'learning_rate': 7.7095080692203e-06, 'epoch': 3.38}
{'loss': 0.2246, 'grad_norm': 1.0242406129837036, 'learning_rate': 7.223410460820533e-06, 'epoch': 3.42}
{'loss': 0.2325, 'grad_norm': 2.031506061553955, 'learning_rate': 6.737312852420767e-06, 'epoch': 3.46}
{'loss': 0.2302, 'grad_norm': 1.6497195959091187, 'learning_rate': 6.251215244021e-06, 'epoch': 3.5}
{'loss': 0.2418, 'grad_norm': 1.9867336750030518, 'learning_rate': 5.765117635621233e-06, 'epoch': 3.54}
{'loss': 0.229, 'grad_norm': 1.5824475288391113, 'learning_rate': 5.279020027221467e-06, 'epoch': 3.58}
{'loss': 0.2265, 'grad_norm': 1.5471808910369873, 'learning_rate': 4.7929224188217e-06, 'epoch': 3.62}
{'loss': 0.2425, 'grad_norm': 2.153259754180908, 'learning_rate': 4.3068248104219325e-06, 'epoch': 3.65}
{'loss': 0.2264, 'grad_norm': 1.4294253587722778, 'learning_rate': 3.820727202022166e-06, 'epoch': 3.69}
{'loss': 0.2388, 'grad_norm': 3.3545737266540527, 'learning_rate': 3.3346295936223993e-06, 'epoch': 3.73}
{'loss': 0.2226, 'grad_norm': 1.7338491678237915, 'learning_rate': 2.8485319852226327e-06, 'epoch': 3.77}
{'loss': 0.2335, 'grad_norm': 2.2440664768218994, 'learning_rate': 2.362434376822866e-06, 'epoch': 3.81}
{'loss': 0.2223, 'grad_norm': 1.6367928981781006, 'learning_rate': 1.8763367684230994e-06, 'epoch': 3.85}
{'loss': 0.2272, 'grad_norm': 3.134117364883423, 'learning_rate': 1.3902391600233328e-06, 'epoch': 3.89}
{'loss': 0.2249, 'grad_norm': 1.8589584827423096, 'learning_rate': 9.041415516235661e-07, 'epoch': 3.93}
{'loss': 0.2355, 'grad_norm': 1.9546668529510498, 'learning_rate': 4.180439432237993e-07, 'epoch': 3.97}
{'eval_loss': 0.30657026171684265, 'eval_accuracy': 0.9264, 'eval_macro_f1': 0.9051649781834219, 'eval_runtime': 2391.2034, 'eval_samples_per_second': 12.546, 'eval_steps_per_second': 0.131, 'epoch': 4.0}
{'train_runtime': 102381.9411, 'train_samples_per_second': 9.646, 'train_steps_per_second': 0.201, 'train_loss': 0.30294555350312363, 'epoch': 4.0}
TRAINING COMPLETE
selection val subsampled to 60,000 cells
